"point" "x" "y" "z"
"284" "-5.56739998" "-16.46839905" "11.92800045"
"285" "-4.54969978" "-18.32169914" "15.10219955"
"286" "-7.13789988" "-17.56130028" "9.73639965"
"287" "-6.83900023" "-18.08539963" "10.55029964"
"288" "-4.85659981" "-16.47419930" "11.23139954"
"289" "-7.39820004" "-17.83340073" "9.05850029"
"290" "-6.98050022" "-16.45310020" "7.69460011"
"291" "-5.32219982" "-15.53940010" "8.67459965"
"292" "-6.95889997" "-16.41320038" "4.52419996"
"293" "-6.33449984" "-14.67049980" "20.95739937"
"294" "-9.00949955" "-16.33410072" "19.17239952"
"295" "-7.35650015" "-15.57549953" "19.67149925"
"296" "-7.80140018" "-15.58549976" "18.73769951"
"297" "-8.96160030" "-15.01809978" "15.87380028"
"298" "-7.61390018" "-15.84350014" "18.60429955"
"299" "-6.69390011" "-16.76269913" "21.07999992"
"300" "-5.70879984" "-14.99100018" "18.46319962"
"301" "-5.57000017" "-16.54719925" "20.98909950"
"302" "-9.28649998" "-16.67000008" "16.78689957"
"303" "-9.88720036" "-16.86440086" "16.21100044"
"304" "-7.58769989" "-16.38139915" "17.34410095"
"305" "-9.28610039" "-15.73130035" "14.06040001"
"306" "-9.75440025" "-16.64109993" "14.76469994"
"307" "-7.09899998" "-16.42239952" "16.72489929"
"308" "-6.40590000" "-16.24469948" "17.13640022"
"309" "-5.44719982" "-17.20330048" "19.42630005"
"310" "-7.28049994" "-14.80690002" "13.84109974"
"311" "-7.02510023" "-16.74340057" "16.76460075"
"312" "-6.22790003" "-16.31780052" "16.92659950"
"313" "-5.43510008" "-15.91079998" "17.05550003"
"314" "-8.56849957" "-15.74160004" "13.30070019"
"315" "-8.48989964" "-16.72100067" "14.61499977"
"316" "-8.40530014" "-16.69790077" "14.51369953"
"317" "-7.70730019" "-15.58860016" "13.43280029"
"318" "-9.47099972" "-17.06389999" "13.38440037"
"319" "-9.38370037" "-17.04039955" "13.29100037"
"320" "-9.88599968" "-17.10540009" "12.68039989"
"321" "-9.82740021" "-17.12619972" "12.62619972"
"322" "-6.32700014" "-17.25749969" "16.06900024"
"323" "-7.39739990" "-17.56240082" "14.84519958"
"324" "-8.65219975" "-16.86720085" "12.50879955"
"325" "-9.40120029" "-17.39629936" "12.24349976"
"326" "-9.26920033" "-17.54669952" "12.13220024"
"327" "-7.39389992" "-16.29400063" "12.15460014"
"328" "-6.94680023" "-16.60129929" "12.83660030"
"329" "-6.18559980" "-16.15469933" "12.96329975"
"330" "-6.08190012" "-17.88610077" "14.64710045"
"331" "-4.92869997" "-18.14270020" "16.01589966"
"332" "-5.94140005" "-16.27899933" "12.70919991"
